,51,WHITE BALANCE,,,,COLORS,,,,,,,,,,,,TONE CURVE,,,,,,,,
Name,Author,WhiteBalance,KeepWarm,WhiteBalanceAmberShift,WhiteBalanceGreenShift,Yellow,Orange,OrangeRed,Red,RedMagenta,Magenta,Blue,BlueCyan,Cyan,CyanGreen,Green,GreenYellow,Shadows,Mids,Highlights,Vignette,Sharpness,Contrast,ExposureCompensation,Notes,Links
A. N. Ektachrome,Isaac Mitropoulos,,,,,-4,0,0,0,-1,-1,-1,0,0,0,0,-4,3,0,-3,0,0,0,,,
Asteroid City,BRK5891,5300,,7,7,3,1,2,2,1,1,0,-4,5,-3,-1,-1,4,0,-2,0,-1,-2,,based on Asteroid City movie,https://www.mu-43.com/threads/wes-anderson-asteroid-city-inspired-om-3-recipe.129007/#post-1834927
Bleached,Alberto Torrejon,7400,,-2,5,-4,0,0,0,-1,-1,-1,0,0,0,0,-4,3,0,-3,0,0,0,,,https://www.facebook.com/groups/868676745364735/permalink/973880794844329/?mibextid=wwXIfr&rdid=eIuZdgPMcZYS1FAX#
City Look,VideoPic,,,,,3,1,-4,0,-1,-1,-1,-1,-5,-1,1,-1,0,0,0,0,0,0,,,https://myolympusomd.blogspot.com/p/olympus-pen-f-color-profiles.html
Default - 1,OM System,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Default - 2,OM System,,,,,1,1,0,0,0,0,1,1,0,0,1,1,-3,0,3,0,0,0,,,
Default - 3,OM System,,,,,4,4,4,4,4,3,4,4,4,4,4,4,-4,0,4,0,0,0,,,
Default - 4,OM System,,,,,-4,0,0,0,-1,-1,-1,0,0,0,0,-4,3,0,-3,0,0,0,,,
Dirty Pop,Luis Chavez,4200,,,,2,2,2,0,1,1,1,0,1,1,0,1,-3,-1,3,0,-1,-1,,"Named after a popular NSYNC song, this is a natural but punchy color with deep shadows and a gentle highlight lift. Greens and yellows get a little glow, blues run a touch darker, which keeps skies rich and skin tones clean straight out of camera.",https://explore.omsystem.com/ca/en/creative-recipes
Dreamy White,Isaac Mitropoulos,,,1,-1,-5,-3,-1,-1,-1,-1,-1,-2,-2,-2,-2,-3,1,2,3,0,0,-2,,,
